movie_title,director_popularity,main_actor,secondary_actor,third_actor,duration,gen_Drama,gen_Comedy,gen_Thriller,gen_Action,gen_Romance,gen_Adventure,gen_Crime,gen_Fantasy,gen_Sci-Fi,gen_Horror,gen_Family,gen_Mystery,gen_Animation,gen_Biography,gen_Music,gen_Sport,gen_War,gen_Musical,gen_History,gen_Documentary,gen_Western,gen_Film-Noir,gen_Short,gen_News,gen_Reality-TV,gen_Game-Show,num_voted_users,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,crat_R,crat_PG-13,crat_PG,crat_,crat_G,crat_Not Rated,crat_Approved,crat_Unrated,crat_TV-14,crat_TV-PG,crat_X,crat_TV-MA,crat_Passed,crat_TV-G,crat_NC-17,crat_GP,crat_M,crat_TV-Y7,profit_ratio,imdb_score
Clueless ,4,10,5,1,97,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123390,49,81,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.719297667,GET_65_AND_LET_71
Jonah Hex ,2,7,1,1,81,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45729,2,96,3,27,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2242428511,LET_57
Major Dundee ,4,7,3,2,152,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5294,2,1,2,18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.003913947368,GET_65_AND_LET_71
Daylight ,11,25,14,1,114,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53132,1,9,7,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4110695625,GET_58_AND_LET_64
Maid in Manhattan ,4,6,9,1,105,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68417,29,6,83,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7057294,LET_57
She's All That ,3,17,11,8,95,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67115,3,126,81,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3319509,GET_58_AND_LET_64
Seven Years in Tibet ,2,28,9,4,136,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,96385,3,2,1,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5414501286,GET_65_AND_LET_71
Bats ,1,3,9,3,91,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8294,1,3,3,18,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.561504462,LET_57
Clash of the Titans ,4,20,10,4,106,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229679,2,5,2,15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.305536912,GET_58_AND_LET_64
Thor: The Dark World ,2,14,18,22,112,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414070,2,5,2,18,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.213882459,GET_65_AND_LET_71
Revolutionary Road ,4,18,15,1,119,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152591,22,17,4,19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6536516571,GET_72
The Ice Storm ,7,9,4,2,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46396,6,1,11,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435424,GET_72
Batman Begins ,8,20,20,39,128,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980946,3,22,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.368958493,GET_72
Let's Be Cops ,4,9,4,3,104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106820,4,1,8,43,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.846444706,GET_65_AND_LET_71
But I'm a Cheerleader ,2,12,11,7,85,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19986,8,24,9,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.833210833,GET_65_AND_LET_71
Epic Movie ,4,7,9,12,93,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89687,3,1,7,11,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98688225,LET_57
Down to You ,1,17,3,6,91,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12324,15,2,40,83,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.226145556,LET_57
The Last Time I Committed Suicide ,3,23,2,6,92,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1686,10,1,1,1,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003209,GET_58_AND_LET_64
The Last Temptation of Christ ,20,1,5,1,164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39680,1,12,18,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.196226429,GET_72
Dracula 2000 ,4,19,2,1,99,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27378,6,3,6,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.178584893,LET_57
This Is Where I Leave You ,12,8,4,3,103,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54242,9,1,2,3,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.731825354,GET_65_AND_LET_71
Old Dogs ,3,24,14,3,88,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31191,42,1,1,1,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.413544229,LET_57
Lone Survivor ,6,2,3,1,121,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,203963,1,4,1,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1267424,GET_72
To Die For ,7,6,8,4,106,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34774,5,7,125,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,GET_65_AND_LET_71
Married Life ,2,1,1,1,91,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8014,2,42,23,3,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1255831667,GET_58_AND_LET_64
Coyote Ugly ,2,2,2,2,107,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90539,8,1,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.350805978,LET_57
Saw III ,5,7,5,2,121,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142115,3,6,35,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0150343,GET_58_AND_LET_64
Cats & Dogs: The Revenge of Kitty Galore ,3,6,6,2,82,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10233,14,19,45,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5126554824,LET_57
No Strings Attached ,8,18,5,3,108,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168717,4,19,34,16,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82503944,GET_58_AND_LET_64
The Jimmy Show ,1,5,2,1,96,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,5,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004686666667,LET_57
Bad Grandpa ,4,2,1,1,102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77724,1,2,5,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.798589333,GET_65_AND_LET_71
Glitter ,1,3,1,1,104,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19412,26,2,49,2,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1942441818,LET_57
They ,2,3,10,7,89,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10885,3,126,9,19,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7466835882,LET_57
Something Borrowed ,4,3,4,1,112,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48019,42,4,3,40,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.115033886,GET_58_AND_LET_64
A Walk Among the Tombstones ,1,20,3,1,114,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87950,14,4,1,49,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9277630357,GET_65_AND_LET_71
School Daze ,16,3,3,3,121,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4756,2,1,40,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.237822154,GET_58_AND_LET_64
Independence Day ,7,19,6,4,154,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430055,72,1,27,6,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08165412,GET_65_AND_LET_71
Gone in Sixty Seconds ,3,30,23,24,127,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218341,2,7,14,4,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.129366756,GET_65_AND_LET_71
College ,1,2,2,5,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11011,40,4,81,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7221413846,LET_57
Man of the Year ,13,24,8,14,115,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28005,2,5,32,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.872109,GET_58_AND_LET_64
Ouija ,1,12,2,1,89,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31915,2,19,28,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.164188,LET_57
Moulin Rouge! ,2,8,2,6,127,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,224013,1,1,7,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.093073695,GET_72
The Rocker ,1,14,20,8,102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32311,1,5,3,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4272804,GET_58_AND_LET_64
She's the One ,4,1,4,2,96,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13949,6,10,2,142,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.699776857,GET_58_AND_LET_64
Jonah: A VeggieTales Movie ,2,2,1,1,82,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3135,1,14,2,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.826525071,GET_65_AND_LET_71
Tears of the Sun ,8,36,9,11,142,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93494,7,23,18,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6203851571,GET_65_AND_LET_71
Rushmore ,7,31,6,4,93,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134458,14,52,5,34,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.899561444,GET_72
Harriet the Spy ,1,3,4,1,100,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7984,3,2,1,38,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.041486231,GET_58_AND_LET_64
Apocalypse Now ,11,28,9,24,289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,450676,22,1,4,18,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.501587302,GET_72
Miracles from Heaven ,1,14,3,1,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6276,1,8,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.745655615,GET_65_AND_LET_71
Steel ,1,5,2,4,97,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8687,31,17,2,27,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1054018125,LET_57
The Sweetest Thing ,3,1,1,1,90,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46158,3,10,11,8,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5681458605,LET_57
Beverly Hills Cop III ,5,5,3,1,104,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60293,28,2,1,47,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7747272727,LET_57
Safe ,3,16,3,3,94,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83097,7,3,13,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5706673,GET_65_AND_LET_71
The Pirate ,1,1,1,1,102,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3258,1,4,142,14,39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7989189189,GET_65_AND_LET_71
Ordinary People ,5,6,1,4,124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35130,1,96,126,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.133333333,GET_72
Beyond the Mat ,1,1,1,1,108,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,6790,4,48,19,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09514,GET_72
Sholem Aleichem: Laughing in the Darkness ,1,2,1,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,154,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.813332,GET_65_AND_LET_71
Hot Pursuit ,5,6,3,1,87,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34948,2,6,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9859165429,LET_57
New York Stories ,18,11,4,3,124,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13692,1,15,29,19,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7175646,GET_58_AND_LET_64
Fun Size ,1,3,2,1,86,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11233,1,42,126,16,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6716007143,LET_57
Ballistic: Ecks vs. Sever ,1,2,3,3,91,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16761,19,2,8,10,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2042120286,LET_57
Albino Alligator ,2,14,9,7,97,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6632,25,40,18,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0652616,GET_58_AND_LET_64
Saint John of Las Vegas ,1,13,34,10,85,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2522,2,17,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02649184211,GET_58_AND_LET_64
The Green Mile ,4,27,6,6,189,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782610,10,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2800229,GET_72
Say It Isn't So ,2,7,6,1,95,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11375,1,1,1,1,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22066832,LET_57
The Wood ,4,8,6,3,106,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6585,17,52,6,7,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.174605167,GET_65_AND_LET_71
Ghost Town ,4,4,1,1,102,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60516,1,2,1,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6607015,GET_65_AND_LET_71
The Sorcerer's Apprentice ,7,30,5,1,109,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124185,4,1,142,3,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4209587467,GET_58_AND_LET_64
Starsky & Hutch ,7,7,9,1,101,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120795,12,2,12,16,93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47000375,GET_58_AND_LET_64
Star Trek IV: The Voyage Home ,3,8,6,5,119,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61621,1,1,1,22,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38852528,GET_72
Pet Sematary ,2,6,4,1,103,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63855,19,4,6,38,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.997319913,GET_65_AND_LET_71
Auto Focus ,5,9,8,5,105,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11387,52,5,11,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2945808571,GET_65_AND_LET_71
I Heart Huckabees ,8,16,4,3,107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56813,2,26,15,19,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5811233182,GET_65_AND_LET_71
G-Force ,1,6,2,1,88,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33042,1,1,1,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7961350133,LET_57
Butch Cassidy and the Sundance Kid ,2,2,1,1,110,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,152089,2,17,10,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.05148333,GET_72
The Grace Card ,1,1,1,1,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099,8,2,34,10,93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.141205,GET_58_AND_LET_64
Ghosts of Mississippi ,11,11,12,10,130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8531,3,30,3,13,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3625761389,GET_65_AND_LET_71
Hotel Transylvania 2 ,2,34,24,2,89,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56501,28,6,29,2,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12115715,GET_65_AND_LET_71
Me; Myself & Irene ,10,6,5,2,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185878,2,2,2,93,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.775837686,GET_65_AND_LET_71
Warlock: The Armageddon ,1,6,2,1,98,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3943,1,4,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.300893,LET_57
My Big Fat Greek Wedding 2 ,4,5,2,1,94,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13562,1,7,1,19,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.309615833,GET_58_AND_LET_64
Idle Hands ,1,12,12,7,92,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33745,17,19,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20014775,GET_58_AND_LET_64
Jersey Girl ,12,19,12,7,102,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54346,27,3,96,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7218894,GET_58_AND_LET_64
Big Trouble in Little China ,12,4,4,1,99,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92464,23,13,1,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444,GET_72
Marci X ,3,1,5,6,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4518,49,11,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823332,LET_57
